# Version 1.00
#
freq[Hz];re:Trc2_S12;im:Trc2_S12;re:Trc3_S12;im:Trc3_S12;
2.023250000000000E+09;-1.997436234697988E-01;-6.281273007056632E-01;-1.997436234697988E-01;-6.281273007056632E-01;
2.035500000000000E+09;-2.298646902147915E-01;-6.166623091975404E-01;-2.298646902147915E-01;-6.166623091975404E-01;
2.047750000000000E+09;-2.587369662688247E-01;-6.044162482766992E-01;-2.587369662688247E-01;-6.044162482766992E-01;
2.060000000000000E+09;-2.867121967800237E-01;-5.921475923394777E-01;-2.867121967800237E-01;-5.921475923394777E-01;
2.072250000000000E+09;-3.147689786985573E-01;-5.797754699109761E-01;-3.147689786985573E-01;-5.797754699109761E-01;
2.084500000000000E+09;-3.435046562727607E-01;-5.660870170410243E-01;-3.435046562727607E-01;-5.660870170410243E-01;
2.096750000000000E+09;-3.727863446334497E-01;-5.504462340488170E-01;-3.727863446334497E-01;-5.504462340488170E-01;
2.109000000000000E+09;-4.013206889626537E-01;-5.318753489073579E-01;-4.013206889626537E-01;-5.318753489073579E-01;
2.121250000000000E+09;-4.286466037905390E-01;-5.111489629924312E-01;-4.286466037905390E-01;-5.111489629924312E-01;
2.133500000000000E+09;-4.536777502298864E-01;-4.888003887585325E-01;-4.536777502298864E-01;-4.888003887585325E-01;
2.145750000000000E+09;-4.767502669954169E-01;-4.655203543112778E-01;-4.767502669954169E-01;-4.655203543112778E-01;
2.158000000000000E+09;-4.982190730184776E-01;-4.422991109483873E-01;-4.982190730184776E-01;-4.422991109483873E-01;
2.170250000000000E+09;-5.188676627943615E-01;-4.182434881191197E-01;-5.188676627943615E-01;-4.182434881191197E-01;
2.182500000000000E+09;-5.391858917900508E-01;-3.941746269268323E-01;-5.391858917900508E-01;-3.941746269268323E-01;
2.194750000000000E+09;-5.593372786059934E-01;-3.686563030372017E-01;-5.593372786059934E-01;-3.686563030372017E-01;
2.207000000000000E+09;-5.784167209210423E-01;-3.416573089059242E-01;-5.784167209210423E-01;-3.416573089059242E-01;
2.219250000000000E+09;-5.964984867827479E-01;-3.129245650051224E-01;-5.964984867827479E-01;-3.129245650051224E-01;
2.231500000000000E+09;-6.126385267955506E-01;-2.825116360633537E-01;-6.126385267955506E-01;-2.825116360633537E-01;
2.243750000000000E+09;-6.265550998826674E-01;-2.508452693403154E-01;-6.265550998826674E-01;-2.508452693403154E-01;
2.256000000000000E+09;-6.380030715555083E-01;-2.189985308128448E-01;-6.380030715555083E-01;-2.189985308128448E-01;
2.268250000000000E+09;-6.476189415133611E-01;-1.869722091280407E-01;-6.476189415133611E-01;-1.869722091280407E-01;
2.280500000000000E+09;-6.552236477106160E-01;-1.555247049918742E-01;-6.552236477106160E-01;-1.555247049918742E-01;
2.292750000000000E+09;-6.622218132801728E-01;-1.244736990773925E-01;-6.622218132801728E-01;-1.244736990773925E-01;
2.305000000000000E+09;-6.685375496315951E-01;-9.319959497484907E-02;-6.685375496315951E-01;-9.319959497484907E-02;
2.317250000000000E+09;-6.746286455374165E-01;-6.103890044686845E-02;-6.746286455374165E-01;-6.103890044686845E-02;
2.329500000000000E+09;-6.794006982706172E-01;-2.714858542194221E-02;-6.794006982706172E-01;-2.714858542194221E-02;
2.341750000000000E+09;-6.816554999319127E-01;8.437982145473607E-03;-6.816554999319127E-01;8.437982145473607E-03;
2.354000000000000E+09;-6.805976074826642E-01;4.441039104822838E-02;-6.805976074826642E-01;4.441039104822838E-02;
2.366250000000000E+09;-6.760226378060140E-01;7.990349611852464E-02;-6.760226378060140E-01;7.990349611852464E-02;
2.378500000000000E+09;-6.688946926074623E-01;1.131290445680160E-01;-6.688946926074623E-01;1.131290445680160E-01;
2.390750000000000E+09;-6.611185845100119E-01;1.439104172795266E-01;-6.611185845100119E-01;1.439104172795266E-01;
2.403000000000000E+09;-6.535249426260222E-01;1.736252930586747E-01;-6.535249426260222E-01;1.736252930586747E-01;
2.415250000000000E+09;-6.468706779365111E-01;2.038281043789996E-01;-6.468706779365111E-01;2.038281043789996E-01;
2.427500000000000E+09;-6.391476078846227E-01;2.360830839711270E-01;-6.391476078846227E-01;2.360830839711270E-01;
2.439750000000000E+09;-6.289568016217365E-01;2.699378226883123E-01;-6.289568016217365E-01;2.699378226883123E-01;
2.452000000000000E+09;-6.148775437334041E-01;3.044200037386998E-01;-6.148775437334041E-01;3.044200037386998E-01;
2.464250000000000E+09;-5.963538892865039E-01;3.371833295263136E-01;-5.963538892865039E-01;3.371833295263136E-01;
2.476500000000000E+09;-5.749623833262543E-01;3.659834668845596E-01;-5.749623833262543E-01;3.659834668845596E-01;
2.488750000000000E+09;-5.538800795246231E-01;3.911538778576681E-01;-5.538800795246231E-01;3.911538778576681E-01;
2.501000000000000E+09;-5.345647123811840E-01;4.137137205465216E-01;-5.345647123811840E-01;4.137137205465216E-01;
2.513250000000000E+09;-5.163831430517312E-01;4.372560020073909E-01;-5.163831430517312E-01;4.372560020073909E-01;
2.525500000000000E+09;-4.980501741857509E-01;4.624440574445285E-01;-4.980501741857509E-01;4.624440574445285E-01;
2.537750000000000E+09;-4.769013656108417E-01;4.897064102553215E-01;-4.769013656108417E-01;4.897064102553215E-01;
2.550000000000000E+09;-4.512360176551004E-01;5.165139757347313E-01;-4.512360176551004E-01;5.165139757347313E-01;
2.562250000000000E+09;-4.219192823825305E-01;5.404556029755743E-01;-4.219192823825305E-01;5.404556029755743E-01;
2.574500000000000E+09;-3.904800639791249E-01;5.596486406100556E-01;-3.904800639791249E-01;5.596486406100556E-01;
2.586750000000000E+09;-3.595996991141112E-01;5.746652502598948E-01;-3.595996991141112E-01;5.746652502598948E-01;
2.599000000000000E+09;-3.318311207031780E-01;5.875740734969682E-01;-3.318311207031780E-01;5.875740734969682E-01;
2.611250000000000E+09;-3.057098622086415E-01;6.006809141282914E-01;-3.057098622086415E-01;6.006809141282914E-01;
2.623500000000000E+09;-2.793561084545986E-01;6.156639481857318E-01;-2.793561084545986E-01;6.156639481857318E-01;
2.635750000000000E+09;-2.505086632321475E-01;6.315891675109451E-01;-2.505086632321475E-01;6.315891675109451E-01;
2.648000000000000E+09;-2.183649922600794E-01;6.462430813835364E-01;-2.183649922600794E-01;6.462430813835364E-01;
2.660250000000000E+09;-1.830120606372584E-01;6.574645037185060E-01;-1.830120606372584E-01;6.574645037185060E-01;
2.672500000000000E+09;-1.468207019637559E-01;6.640238446814269E-01;-1.468207019637559E-01;6.640238446814269E-01;
2.684750000000000E+09;-1.127828714040907E-01;6.666859568446123E-01;-1.127828714040907E-01;6.666859568446123E-01;
2.697000000000000E+09;-8.112601676546904E-02;6.675985434161613E-01;-8.112601676546904E-02;6.675985434161613E-01;
2.709250000000000E+09;-5.124919201495272E-02;6.692384266809512E-01;-5.124919201495272E-02;6.692384266809512E-01;
2.721500000000000E+09;-2.139341175185720E-02;6.716388539625848E-01;-2.139341175185720E-02;6.716388539625848E-01;
2.733750000000000E+09;1.008521119791708E-02;6.745543780391756E-01;1.008521119791708E-02;6.745543780391756E-01;
2.746000000000000E+09;4.411677442727675E-02;6.753940125175494E-01;4.411677442727675E-02;6.753940125175494E-01;
2.758250000000000E+09;7.968147391577973E-02;6.729900944580867E-01;7.968147391577973E-02;6.729900944580867E-01;
2.770500000000000E+09;1.148347618773914E-01;6.666799930490535E-01;1.148347618773914E-01;6.666799930490535E-01;
2.782750000000000E+09;1.476769430621331E-01;6.574212549086089E-01;1.476769430621331E-01;6.574212549086089E-01;
2.795000000000000E+09;1.781598891557946E-01;6.468214286514535E-01;1.781598891557946E-01;6.468214286514535E-01;
2.807250000000000E+09;2.069984204296184E-01;6.363070816354094E-01;2.069984204296184E-01;6.363070816354094E-01;
2.819500000000000E+09;2.350739252571709E-01;6.261693604896728E-01;2.350739252571709E-01;6.261693604896728E-01;
2.831750000000000E+09;2.640411120262500E-01;6.157812211157372E-01;2.640411120262500E-01;6.157812211157372E-01;
2.844000000000000E+09;2.944872752467418E-01;6.038097853768878E-01;2.944872752467418E-01;6.038097853768878E-01;
2.856250000000000E+09;3.249711446073576E-01;5.893634404154604E-01;3.249711446073576E-01;5.893634404154604E-01;
2.868500000000000E+09;3.548177440435926E-01;5.720020872309515E-01;3.548177440435926E-01;5.720020872309515E-01;
2.880750000000000E+09;3.826468036181516E-01;5.521073949931025E-01;3.826468036181516E-01;5.521073949931025E-01;
2.893000000000000E+09;4.079333507647974E-01;5.312454082509425E-01;4.079333507647974E-01;5.312454082509425E-01;
2.905250000000000E+09;4.311861197624046E-01;5.102507458558507E-01;4.311861197624046E-01;5.102507458558507E-01;
2.917500000000000E+09;4.537143720152608E-01;4.893899983197289E-01;4.537143720152608E-01;4.893899983197289E-01;
2.929750000000000E+09;4.762886334699237E-01;4.680993121780921E-01;4.762886334699237E-01;4.680993121780921E-01;
2.942000000000000E+09;4.988840043774421E-01;4.457144311081978E-01;4.988840043774421E-01;4.457144311081978E-01;
2.954250000000000E+09;5.209158484769901E-01;4.219250986852001E-01;5.209158484769901E-01;4.219250986852001E-01;
